Id,Input Directory,Lowerest Image Numbers,Highest Image Numbers,Number of categories,Freeze layers from,Batch Size,Number of Epcochs,Learning rate,Optimizer,Momentum,Decay,Validation Loss,Validation Accuracy,Execution Time
0,whole_mini,0,1,0,249,32,60,0.004500,RMSprop,0.900000,0.900000,1.0947,0.7362,0:19:42.577516
1,whole_mini,0,1,0,249,32,60,0.004500,SGD,0.900000,0.900000,2.6117,0.3367,0:18:59.548006
2,whole_mini,0,1,0,249,32,60,0.004500,SGD,0.000000,0.000000,0.4461,0.8719,0:18:05.518677
3,whole_mini,0,1,0,249,32,60,0.004500,RMSprop,0.000000,0.000000,1.4863,0.7060,0:04:47.468756
4,whole_mini,0,1,0,249,32,60,0.004500,RMSprop,0.000000,0.000000,1.1680,0.7814,0:06:50.328260
5,whole_mini,0,1,0,249,32,60,0.100000,SGD,0.000000,0.000000,0.5937,0.8342,0:05:57.225959
6,whole_mini,0,1,0,249,32,60,0.010000,SGD,0.000000,0.000000,0.4405,0.8744,0:18:01.833275
7,whole_mini,0,1,0,249,32,60,0.001000,SGD,0.000000,0.000000,0.6059,0.8342,0:41:51.079117
8,whole_mini,0,1,0,249,32,60,0.050000,SGD,0.000000,0.000000,0.5305,0.8442,0:08:08.001127
9,whole_mini,0,1,0,249,32,60,0.080000,SGD,0.000000,0.000000,0.7428,0.8141,0:07:22.187534
10,whole_mini,0,1,0,249,32,60,0.030000,SGD,0.000000,0.000000,0.4245,0.8819,0:09:21.361070
11,whole_mini,0,1,0,249,32,60,0.030000,SGD,0.000000,0.300000,2.2328,0.4648,0:15:20.738438
12,whole_mini,0,1,0,249,32,60,0.030000,SGD,0.900000,0.000000,0.9768,0.8090,0:07:55.242822
